rank,rikishi,heya,w,l
Sd92w,Fukuyamato,Kasugayama,0,0
Sd93e,Sadanohana,Sakaigawa,4,3
Sd93w,Kisomitsuru,Tokitsukaze,3,4
Sd94e,Kasugamine,Kasugayama,5,2
Sd94w,Tochiimari,Kasugano,1,6
Sd95e,Okinohama,Hakkaku,6,1
Sd95w,Sakaefuji,Sakaigawa,3,4
Sd96e,Wakakeisho,Oitekaze,0,0
Sd96w,Iida,Tamanoi,4,3
Sd97e,Yamazaki,Asakayama,2,5
Sd97w,Dewataikai,Dewanoumi,1,0
Sd98e,Tagonofuji,Tagonoura,5,2
Sd98w,Daishojo,Oitekaze,2,5
Sd99e,Mutsukaze,Oguruma,3,4
Sd99w,Hamakasuga,Kasugayama,0,0
Sd100e,Daiyushi,Takadagawa,3,4
Sd100w,Masunoyama,Chiganoura,0,0
Jd1e,Kumao,Kasugayama,5,2
Jd1w,Toho,Otake,4,3
Jd2e,Chiyooume,Kokonoe,2,5
Jd2w,Teraoumi,Shikoroyama,3,4
Jd3e,Yuma,Onomatsu,4,3
Jd3w,Mienosato,Kasugano,5,2
Jd4e,Toshinofuji,Isegahama,3,4
Jd4w,Tsugaruumi,Tamanoi,0,1
Jd5e,Satonofuji,Isegahama,4,3
Jd5w,Asakanai,Takasago,3,4
Jd6e,Shinshunishiki,Nishikido,4,3
Jd6w,Hokutowaka,Hakkaku,0,0
Jd7e,Toryu,Shikoroyama,3,4
Jd7w,Rikiyushi,Minezaki,4,3
Jd8e,Nakao,Onoe,3,4
Jd8w,Kotokojima,Sadogatake,3,4
Jd9e,Hamadayama,Shibatayama,3,4
Jd9w,Kotoyamato,Sadogatake,4,3
Jd10e,Minatoryu,Minato,6,1
Jd10w,Wakasato,Nishonoseki,5,2
Jd11e,Yoshimoto,Azumazeki,1,6
Jd11w,Tochinokuni,Kasugano,2,5
Jd12e,Tsurugikaze,Oguruma,1,2
Jd12w,Shoei,Kasugayama,5,2
Jd13e,Hirose,Arashio,4,3
Jd13w,Hatachijo,Yamahibiki,5,2
Jd14e,Torinzan,Shikoroyama,3,4
Jd14w,Inabajo,Sakaigawa,2,5
Jd15e,Kainowaka,Tomozuna,2,5
Jd15w,Wakayamanaka,Nishonoseki,0,7
Jd16e,Fujitaisei,Fujishima,4,3
Jd16w,Kitadaichi,Tatsunami,4,3
Jd17e,Yamamoto,Tamanoi,6,1
Jd17w,Daitenpaku,Isegahama,5,2
Jd18e,Wakahizen,Minezaki,3,4
Jd18w,Watanabe,Miyagino,2,5
Jd19e,Teraosho,Shikoroyama,3,4
